Rank;Player name;Position;Age;Team;Games played;Minutes played per game;Field goals per game;Field goal attempts per game;3-point field goals per game;3-point field goal attempts per game;2-point field goals per game;2-point field goal attempts per game;Free throws per game;Free throw attempts per game;Total rebounds per game;Assists per game;Steals per game;Blocks per game;Turnovers per game;Personal fouls per game;Points per game
36;Charles Bassey;PF;21;PHI;23;7.3;1.3;2;0;0.2;1.3;1.9;0.4;0.5;2.7;0.3;0.2;0.7;0.3;1.4;3
37;Keita Bates-Diop;SF;26;SAS;59;16.2;2.3;4.5;0.3;0.9;2;3.5;0.8;1;3.9;0.7;0.5;0.2;0.8;1;5.7
38;Nicolas Batum;PF;33;LAC;59;24.8;3;6.6;1.8;4.6;1.2;2;0.4;0.6;4.3;1.7;1;0.7;0.7;1.4;8.3
39;Kent Bazemore;SF;32;LAL;39;14;1.2;3.6;0.7;2.1;0.4;1.5;0.3;0.4;1.8;0.9;0.6;0.2;0.5;1.8;3.4
40;Darius Bazley;PF;21;OKC;69;27.9;4;9.4;1.2;3.9;2.8;5.5;1.7;2.5;6.3;1.4;0.8;1;1.3;1;10.8
41;Bradley Beal;SG;28;WAS;40;36;8.7;19.3;1.6;5.3;7.1;14;4.2;5.1;4.7;6.6;0.9;0.4;3.4;2.4;23.2
42;Malik Beasley;SG;25;MIN;79;25;4.2;10.8;3;8.1;1.2;2.7;0.6;0.8;2.9;1.5;0.5;0.2;0.5;1.1;12.1
43;Jordan Bell;C;27;CHI;1;2;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0
44;DeAndre' Bembry;SF;27;TOT;56;18.3;2.2;3.9;0.3;0.6;1.9;3.3;0.4;0.6;2.9;1.2;0.9;0.4;0.6;2;5.1
44;DeAndre' Bembry;SF;27;BRK;48;19.8;2.5;4.4;0.3;0.8;2.2;3.7;0.4;0.7;3.2;1.3;1;0.5;0.6;2.2;5.8
44;DeAndre' Bembry;SF;27;MIL;8;9.6;0.4;1;0;0;0.4;1;0;0;1.4;0.8;0.3;0;0.1;1.1;0.8
45;D?vis Bert?ns;PF;29;TOT;56;14.4;1.8;4.9;1.4;4.1;0.4;0.8;0.6;0.7;2.1;0.6;0.3;0.2;0.3;1.5;5.6
45;D?vis Bert?ns;PF;29;WAS;34;14.7;1.8;5;1.4;4.2;0.4;0.8;0.8;0.9;1.8;0.5;0.3;0.2;0.4;1.6;5.7
45;D?vis Bert?ns;PF;29;DAL;22;13.9;1.8;4.7;1.4;3.9;0.4;0.8;0.4;0.5;2.5;0.7;0.3;0.3;0.2;1.4;5.3
46;Patrick Beverley;PG;33;MIN;58;25.4;3.1;7.5;1.4;4.2;1.6;3.3;1.7;2.3;4.1;4.6;1.2;0.9;1.3;3;9.2
47;Saddiq Bey;SF;22;DET;82;33;5.5;13.9;2.6;7.4;2.9;6.4;2.6;3.1;5.4;2.8;0.9;0.2;1.2;1.6;16.1
48;Khem Birch;C;29;TOR;55;18;1.8;3.6;0;0.3;1.8;3.4;1;1.3;4.3;1;0.5;0.5;0.5;1.9;4.5
49;Goga Bitadze;C;22;IND;50;14.6;2.6;5;0.5;1.6;2.2;3.4;1.3;1.9;3.5;1.1;0.4;0.8;0.9;2.1;7
50;Bismack Biyombo;C;29;PHO;36;14.1;2.4;4;0;0;2.4;4;1.1;2;4.6;0.6;0.3;0.7;0.7;1.9;5.8
51;Nemanja Bjelica;C;33;GSW;71;16.1;2.3;4.8;0.8;2.1;1.5;2.7;0.8;1.1;4.1;2.2;0.6;0.4;1.2;1.8;6.1
52;Eric Bledsoe;PG;32;LAC;54;25.2;3.6;8.7;0.9;3;2.7;5.6;1.6;2.2;3.4;4.2;1.3;0.4;2.1;1.6;9.9
53;Keljin Blevins;SF;26;POR;31;11.3;1.1;3.6;0.7;2.3;0.4;1.3;0.2;0.4;1.5;0.6;0.4;0;0.5;0.9;3.1
54;Bogdan Bogdanovi?;SG;29;ATL;63;29.3;5.4;12.6;2.7;7.3;2.7;5.3;1.5;1.8;4;3.1;1.1;0.2;1.1;2.1;15.1
55;Bojan Bogdanovi?;PF;32;UTA;69;30.9;6.1;13.4;2.6;6.8;3.5;6.7;3.2;3.8;4.3;1.7;0.5;0;1.7;1.7;18.1
56;Bol Bol;PF;22;DEN;14;5.8;1.1;1.9;0.1;0.3;1;1.6;0.1;0.4;1.4;0.4;0.1;0.1;0.3;0.3;2.4
57;Leandro Bolmaro;SF;21;MIN;35;6.9;0.5;1.5;0.1;0.5;0.3;1;0.3;0.4;1.2;0.6;0.2;0;0.4;0.7;1.4
58;Isaac Bonga;SF;22;TOR;15;4.6;0.2;0.9;0.1;0.3;0.1;0.6;0.3;0.5;0.5;0.3;0.5;0.1;0.1;0.7;0.8
59;Devin Booker;SG;25;PHO;68;34.5;9.7;20.9;2.7;7;7;13.9;4.6;5.3;5;4.8;1.1;0.4;2.4;2.6;26.8
60;Brandon Boston Jr.;SG;20;LAC;51;14.9;2.5;6.4;0.7;2.2;1.8;4.2;1.2;1.4;2.2;1;0.5;0.3;0.6;0.8;6.7
61;Chris Boucher;PF;29;TOR;80;21.1;3.4;7.2;0.9;2.9;2.5;4.4;1.9;2.4;6.2;0.3;0.6;0.9;0.5;2.2;9.4
62;James Bouknight;SG;21;CHO;31;9.8;1.6;4.5;0.5;1.6;1;3;0.9;1;1.7;0.8;0.2;0;0.5;0.9;4.6
63;Avery Bradley;SG;31;LAL;62;22.7;2.4;5.6;1.3;3.4;1.1;2.3;0.3;0.3;2.2;0.8;0.9;0.1;0.6;1.9;6.4
64;Tony Bradley;C;24;CHI;55;10;1.3;2.2;0;0;1.3;2.2;0.3;0.5;3.4;0.5;0.2;0.6;0.6;1.1;3
