Rank;Player name;Position;Age;Team;Games played;Minutes played per game;Field goals per game;Field goal attempts per game;3-point field goals per game;3-point field goal attempts per game;2-point field goals per game;2-point field goal attempts per game;Free throws per game;Free throw attempts per game;Total rebounds per game;Assists per game;Steals per game;Blocks per game;Turnovers per game;Personal fouls per game;Points per game
130;Gabriel Deck;PF;26;OKC;7;8;1.1;2;0.3;0.6;0.9;1.4;0;0;0.9;0.7;0.1;0;0.3;0.3;2.6
131;Dewayne Dedmon;C;32;MIA;67;15.9;2.4;4.3;0.3;0.7;2.2;3.6;1.1;1.5;5.8;0.7;0.4;0.6;1;2.6;6.3
132;Sam Dekker;PF;27;TOR;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;Javin DeLaurier;C;23;MIL;1;3;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
134;DeMar DeRozan;PF;32;CHI;76;36.1;10.2;20.2;0.7;1.9;9.5;18.3;6.8;7.8;5.2;4.9;0.9;0.3;2.4;2.3;27.9
135;Mamadi Diakite;PF;25;OKC;13;14.5;1.9;3.6;0;0.4;1.9;3.2;0.5;0.8;4.5;0.2;0.4;0.7;0.5;2.5;4.3
136;Cheick Diallo;C;25;DET;3;10.3;1;2.7;0;0;1;2.7;1.7;2;4;0;0.3;0;0.3;2;3.7
137;Hamidou Diallo;SG;23;DET;58;21.9;4.5;9.1;0.4;1.6;4.1;7.5;1.6;2.4;4.8;1.3;1.2;0.3;1;2.5;11
138;Gorgui Dieng;C;32;ATL;44;8.4;1.2;2.5;0.7;1.5;0.5;1;0.4;0.6;2.8;0.8;0.3;0.3;0.5;1.2;3.5
139;Spencer Dinwiddie;PG;28;TOT;67;29.6;4.6;11;1.7;4.9;2.9;6;2.9;3.8;4.2;5.2;0.7;0.2;1.6;2.2;13.7
139;Spencer Dinwiddie;PG;28;WAS;44;30.2;4.2;11.2;1.6;5.1;2.6;6;2.6;3.3;4.7;5.8;0.6;0.2;1.7;2.4;12.6
139;Spencer Dinwiddie;PG;28;DAL;23;28.3;5.3;10.6;1.8;4.5;3.4;6;3.4;4.7;3.1;3.9;0.7;0.3;1.3;1.9;15.8
140;Donte DiVincenzo;SG;25;TOT;42;24;2.8;8;1.8;5.2;1;2.8;1.7;2;4;2.8;1.1;0.2;1.7;1.6;9
140;Donte DiVincenzo;SG;25;MIL;17;20.1;2.3;6.9;1.2;4.4;1.1;2.6;1.4;1.6;3.5;1.7;0.6;0.2;1.6;1.5;7.2
140;Donte DiVincenzo;SG;25;SAC;25;26.6;3.2;8.7;2.1;5.8;1;3;1.9;2.2;4.4;3.6;1.5;0.2;1.8;1.7;10.3
141;Luka Don?i?;PG;22;DAL;65;35.4;9.9;21.6;3.1;8.8;6.8;12.8;5.6;7.5;9.1;8.7;1.2;0.6;4.5;2.2;28.4
142;Luguentz Dort;SF;22;OKC;51;32.6;5.7;14.2;2.5;7.7;3.2;6.6;3.2;3.7;4.2;1.7;0.9;0.4;1.7;2.9;17.2
143;Ayo Dosunmu;SG;22;CHI;77;27.4;3.6;6.9;0.9;2.4;2.7;4.5;0.7;1;2.8;3.3;0.8;0.4;1.4;2.4;8.8
144;Damyean Dotson;SG;27;NYK;2;10.5;1;2;0;0.5;1;1.5;0;0;1;0.5;0;0;0;0;2
145;Devon Dotson;PG;22;CHI;11;7.7;1;2.1;0.2;0.8;0.8;1.3;0.5;0.8;0.8;1.4;0.1;0;0.5;1;2.6
146;Sekou Doumbouya;PF;21;LAL;2;8;2.5;4;0.5;1;2;3;1.5;2;3;0;1.5;1;1;0.5;7
147;Jeff Dowtin;PG;24;TOT;9;12;0.9;2.9;0.1;1;0.8;1.9;0.2;0.2;2;1.1;0.6;0.1;0.6;0.6;2.1
147;Jeff Dowtin;PG;24;GSW;4;7;0.8;1.5;0;0.3;0.8;1.3;0;0;1.8;0.8;0;0.3;0.3;0.5;1.5
147;Jeff Dowtin;PG;24;MIL;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
147;Jeff Dowtin;PG;24;ORL;4;19.3;1.3;4.8;0.3;1.8;1;3;0.5;0.5;2.8;1.8;1.3;0;1;0.8;3.3
148;PJ Dozier;SG;25;DEN;18;18.9;2;5.5;0.8;2.7;1.2;2.8;0.6;0.7;3.5;1.6;0.6;0.3;0.7;1.8;5.4
149;Goran Dragi?;PG;35;TOT;21;23.7;2.7;7.2;0.8;3;2;4.2;1.3;1.6;3.1;4.1;0.9;0.2;1.6;2.1;7.5
149;Goran Dragi?;PG;35;TOR;5;18;2.6;6.8;0.8;2.8;1.8;4;2;2;2.8;1.8;1;0.2;0.2;1.6;8
149;Goran Dragi?;PG;35;BRK;16;25.5;2.8;7.3;0.8;3.1;2;4.3;1.1;1.4;3.2;4.8;0.9;0.2;2.1;2.3;7.3
150;Andre Drummond;C;28;TOT;73;19.7;3.4;5.9;0;0;3.4;5.9;1.2;2.2;9.3;1.8;1.1;0.9;1.6;2.6;7.9
150;Andre Drummond;C;28;PHI;49;18.4;2.6;4.9;0;0;2.6;4.8;0.9;1.7;8.8;2;1.1;0.9;1.6;2.5;6.1
150;Andre Drummond;C;28;BRK;24;22.3;5;8.1;0;0;5;8.1;1.8;3.4;10.3;1.4;0.9;1;1.5;3;11.8
151;Chris Duarte;SG;24;IND;55;28;4.9;11.3;1.7;4.6;3.2;6.7;1.6;2;4.1;2.1;1;0.2;1.6;1.7;13.1
152;David Duke Jr.;PG;22;BRK;22;15.5;1.8;4.9;0.4;1.7;1.4;3.2;0.8;1;3;0.8;0.6;0.3;0.4;1.6;4.7
153;Kris Dunn;PG;27;POR;14;24;3.1;7.3;0.1;0.8;3.1;6.5;1.2;1.3;3.5;5.6;1.6;0.2;2.3;2.7;7.6
154;Kevin Durant;PF;33;BRK;55;37.2;10.5;20.3;2.1;5.5;8.4;14.8;6.8;7.4;7.4;6.4;0.9;0.9;3.5;2.1;29.9
155;Jaime Echenique;C;24;WAS;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;Anthony Edwards;SG;20;MIN;72;34.3;7.6;17.3;3;8.4;4.6;8.9;3.1;3.9;4.8;3.8;1.5;0.6;2.6;2.3;21.3
157;Carsen Edwards;SG;23;DET;4;19.8;2.3;7.5;1;4;1.3;3.5;0.3;0.3;1.5;3.5;0.5;0;1.3;1;5.8
158;Kessler Edwards;SF;21;BRK;48;20.6;2.3;5.6;1;2.8;1.3;2.7;0.3;0.4;3.6;0.6;0.6;0.5;0.9;1.8;5.9
159;Rob Edwards;SG;25;OKC;2;5.5;0.5;2;0.5;2;0;0;0;0;1.5;0;0;0;0.5;0;1.5
160;CJ Elleby;SF;21;POR;58;20.2;2.1;5.3;0.6;2.2;1.4;3.1;1;1.4;3.9;1.5;0.6;0.3;1;2;5.8
161;Wayne Ellington;SG;34;LAL;43;18.8;2.3;5.5;1.9;4.9;0.4;0.6;0.2;0.3;1.8;0.7;0.5;0.1;0.4;1;6.7
162;Joel Embiid;C;27;PHI;68;33.8;9.8;19.6;1.4;3.7;8.4;15.9;9.6;11.8;11.7;4.2;1.1;1.5;3.1;2.7;30.6
163;James Ennis III;SF;31;TOT;7;8;1.6;3.4;0.4;1.1;1.1;2.3;0.6;0.7;1.7;0.4;0.3;0.3;0.3;0.7;4.1
163;James Ennis III;SF;31;BRK;2;7;1;3.5;0.5;1;0.5;2.5;0;0;2.5;0;0.5;0.5;0;0;2.5
163;James Ennis III;SF;31;LAC;2;14;3.5;5.5;1;2;2.5;3.5;2;2;2.5;0;0.5;0.5;0.5;2;10
163;James Ennis III;SF;31;DEN;3;4.7;0.7;2;0;0.7;0.7;1.3;0;0.3;0.7;1;0;0;0.3;0.3;1.3
164;Drew Eubanks;C;24;TOT;71;17.5;3.1;5.2;0.1;0.3;3;4.9;1.4;1.8;5.4;1.2;0.4;0.6;1.1;1.7;7.7
164;Drew Eubanks;C;24;SAS;49;12.1;1.7;3.2;0;0.2;1.7;3.1;1.2;1.6;4;1;0.3;0.6;0.9;1.2;4.7
164;Drew Eubanks;C;24;POR;22;29.5;6.2;9.6;0.2;0.7;6;9;1.8;2.3;8.5;1.6;0.8;0.5;1.6;2.8;14.5
165;Tacko Fall;C;26;CLE;11;5.4;0.5;1.1;0;0;0.5;1.1;0.2;0.6;2.1;0.2;0;0.5;0.3;0.3;1.1
166;Derrick Favors;C;30;OKC;39;16.7;2.4;4.7;0.1;0.4;2.4;4.3;0.4;0.6;4.7;0.6;0.4;0.3;0.2;1.6;5.3
167;Bruno Fernando;C;23;TOT;30;5.1;1.2;1.8;0;0.1;1.2;1.8;0.5;0.8;1.8;0.2;0;0.4;0.5;0.8;2.9
167;Bruno Fernando;C;23;BOS;20;2.9;0.4;0.7;0.1;0.1;0.3;0.7;0.2;0.3;0.8;0.2;0;0.2;0.3;0.3;1
167;Bruno Fernando;C;23;HOU;10;9.4;2.9;4.1;0;0.1;2.9;4;1.1;1.9;4;0.3;0.1;0.8;0.9;1.8;6.9
168;Dorian Finney-Smith;PF;28;DAL;80;33.1;4.1;8.7;2.2;5.4;1.9;3.2;0.7;1;4.7;1.9;1.1;0.5;1;2.3;11
169;Malik Fitts;PF;24;TOT;15;4.2;0.5;1.3;0.3;0.7;0.2;0.6;0;0;1.1;0.3;0;0;0.1;0.3;1.4
169;Malik Fitts;PF;24;UTA;7;5;0.3;1.3;0.3;0.6;0;0.7;0;0;1.4;0;0;0;0.3;0.4;0.9
169;Malik Fitts;PF;24;BOS;8;3.5;0.8;1.3;0.4;0.8;0.4;0.5;0;0;0.9;0.6;0;0;0;0.1;1.9
170;Malachi Flynn;PG;23;TOR;44;12.2;1.6;4.2;0.7;2;1;2.1;0.3;0.5;1.4;1.6;0.5;0.1;0.3;1;4.3
171;Bryn Forbes;SG;28;TOT;75;17.1;3.1;7.2;1.6;3.9;1.5;3.3;1.1;1.2;1.2;1;0.3;0.1;0.7;1.3;8.8
171;Bryn Forbes;SG;28;SAS;40;16.9;3.2;7.4;1.6;3.8;1.6;3.6;1.1;1.2;1.6;1;0.4;0.1;0.8;1.1;9.1
171;Bryn Forbes;SG;28;DEN;35;17.4;2.9;6.9;1.7;4.1;1.3;2.8;1;1.1;0.9;1;0.2;0.1;0.7;1.5;8.6
172;Aleem Ford;SF;24;ORL;5;14.8;1.2;4;0.4;3;0.8;1;0;0;3;0.4;0.2;0;0.8;1.4;2.8
173;Trent Forrest;PG;23;UTA;60;12.8;1.3;2.6;0.1;0.5;1.2;2.1;0.6;0.8;1.7;1.8;0.5;0.1;0.8;0.7;3.3
174;Evan Fournier;SG;29;NYK;80;29.5;5;12.1;3;7.7;2;4.3;1;1.4;2.6;2.1;1;0.3;1.3;2.3;14.1
175;De'Aaron Fox;PG;24;SAC;59;35.3;8.7;18.5;1.3;4.2;7.5;14.3;4.4;5.9;3.9;5.6;1.2;0.4;2.8;2.9;23.2
176;Melvin Frazier;SG;25;OKC;3;40;4.3;16;0.3;7;4;9;1.7;2.3;4.3;0.3;0.3;0;1;2.7;10.7
177;Tim Frazier;PG;31;TOT;12;17.3;1.2;3.8;0.5;1.4;0.7;2.3;0.4;0.8;1.6;2.8;0.3;0.1;1.3;2.3;3.3
177;Tim Frazier;PG;31;ORL;10;20;1.3;4.3;0.6;1.7;0.7;2.6;0.5;0.9;1.9;3.3;0.3;0.1;1.3;2.4;3.7
177;Tim Frazier;PG;31;CLE;2;4;0.5;1;0;0;0.5;1;0;0;0;0.5;0;0;1;1.5;1
178;Enes Freedom;C;29;BOS;35;11.7;1.5;2.8;0.1;0.1;1.4;2.6;0.7;0.8;4.6;0.2;0.1;0.4;0.6;1.2;3.7
179;Markelle Fultz;PG;23;ORL;18;20;4.6;9.7;0.2;0.9;4.4;8.8;1.4;1.7;2.7;5.5;1.1;0.3;2.2;1.2;10.8
180;Wenyen Gabriel;PF;24;TOT;26;13.8;2.1;4.2;0.3;1.1;1.8;3.2;1;1.6;3.7;0.5;0.2;0.4;0.6;2.6;5.4
180;Wenyen Gabriel;PF;24;BRK;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
180;Wenyen Gabriel;PF;24;LAC;6;7.7;0.8;2.2;0.3;0.8;0.5;1.3;0.3;0.7;2.3;0.3;0.2;0.3;0.5;1.8;2.3
180;Wenyen Gabriel;PF;24;LAL;19;16.4;2.6;5.1;0.3;1.2;2.3;3.9;1.2;2;4.3;0.6;0.2;0.5;0.7;3;6.7
181;Daniel Gafford;C;23;WAS;72;20.1;4;5.7;0;0;4;5.7;1.5;2.1;5.7;0.9;0.4;1.4;0.9;2.4;9.4
182;Danilo Gallinari;PF;33;ATL;66;25.3;3.9;9;1.7;4.5;2.2;4.6;2.1;2.4;4.7;1.5;0.4;0.2;0.6;1.4;11.7
183;Langston Galloway;SG;30;TOT;7;15.3;0.9;3.7;0.3;2.3;0.6;1.4;0;0;2.6;1.7;0.1;0;0.9;1;2
183;Langston Galloway;SG;30;BRK;4;14.5;1.3;3.3;0.5;2;0.8;1.3;0;0;2;1.3;0;0;1.3;1.3;3
183;Langston Galloway;SG;30;MIL;3;16.3;0.3;4.3;0;2.7;0.3;1.7;0;0;3.3;2.3;0.3;0;0.3;0.7;0.7
184;Darius Garland;PG;22;CLE;68;35.7;8;17.3;2.6;6.7;5.4;10.6;3.2;3.5;3.3;8.6;1.3;0.1;3.6;1.7;21.7
185;Marcus Garrett;SG;23;MIA;12;10.7;0.4;1.8;0.1;0.3;0.3;1.4;0.2;0.4;1.9;0.6;0.4;0.3;0.2;1.3;1.1
186;Usman Garuba;PF;19;HOU;24;10;0.8;1.8;0.2;0.8;0.6;1;0.2;0.3;3.5;0.7;0.4;0.5;0.3;1.2;2
187;Luka Garza;C;23;DET;32;12.2;2.1;4.6;0.5;1.5;1.6;3.1;1.2;1.9;3.1;0.6;0.3;0.2;0.6;1.7;5.8
188;Rudy Gay;PF;35;UTA;55;18.9;2.9;6.9;1.3;3.7;1.6;3.2;1.1;1.4;4.4;1;0.5;0.3;0.9;1.7;8.1
189;Paul George;SF;31;LAC;31;34.7;8.6;20.5;2.9;8.3;5.7;12.2;4.1;4.8;6.9;5.7;2.2;0.4;4.1;2.4;24.3
190;Taj Gibson;C;36;NYK;52;18.2;1.7;3.2;0.3;0.7;1.4;2.5;0.8;1;4.4;0.6;0.4;0.8;0.5;2.6;4.4
191;Josh Giddey;SG;19;OKC;54;31.5;5.2;12.4;1;3.9;4.2;8.5;1;1.5;7.8;6.4;0.9;0.4;3.2;1.6;12.5
192;Shai Gilgeous-Alexander;PG;23;OKC;56;34.7;8.5;18.8;1.6;5.3;6.9;13.5;5.9;7.2;5;5.9;1.3;0.8;2.8;2.5;24.5
193;Anthony Gill;PF;29;WAS;44;10.5;1.4;2.5;0.3;0.6;1.1;1.9;1;1.2;1.9;0.6;0.1;0.3;0.4;1.3;4.1
194;Freddie Gillespie;PF;24;ORL;9;13.2;1;2.4;0;0.1;1;2.3;0.3;0.8;4;0.6;0.3;1;0.6;2;2.3
195;Rudy Gobert;C;29;UTA;66;32.1;5.5;7.7;0;0.1;5.5;7.6;4.6;6.7;14.7;1.1;0.7;2.1;1.8;2.7;15.6
196;Brandon Goodwin;PG;26;CLE;36;13.9;1.8;4.3;0.5;1.5;1.3;2.8;0.7;1.1;1.9;2.5;0.7;0;1;1.1;4.8
197;Jordan Goodwin;SG;23;WAS;2;3;0;1.5;0;0.5;0;1;0;0;0.5;0;0;0;0;0.5;0
198;Aaron Gordon;PF;26;DEN;75;31.7;5.8;11.1;1.2;3.5;4.6;7.7;2.3;3.1;5.9;2.5;0.6;0.6;1.8;2;15
199;Eric Gordon;SG;33;HOU;57;29.3;4.7;9.9;2.2;5.3;2.5;4.6;1.8;2.4;2;2.7;0.5;0.3;1.9;1.1;13.4
200;Devonte' Graham;PG;26;NOP;76;28.4;3.9;10.7;2.5;7.4;1.4;3.3;1.6;1.8;2.3;4.2;0.9;0.2;1.4;1.3;11.9
201;Jerami Grant;PF;27;DET;47;31.9;6.3;14.9;1.9;5.4;4.4;9.5;4.6;5.5;4.1;2.4;0.9;1;1.8;2.3;19.2
202;Hassani Gravett;PG;25;ORL;8;21.4;2.3;4.8;1.4;3.3;0.9;1.5;0.4;0.5;2.6;2.5;0.6;0.1;1.1;1.6;6.3
203;Danny Green;SF;34;PHI;62;21.8;2;5.2;1.7;4.4;0.4;0.8;0.2;0.2;2.5;1;1;0.6;0.7;1.7;5.9
204;Draymond Green;PF;31;GSW;46;28.9;2.9;5.6;0.3;1.2;2.6;4.4;1.3;2;7.3;7;1.3;1.1;3;3;7.5
205;Jalen Green;SG;19;HOU;67;31.9;6.1;14.2;2.3;6.8;3.7;7.4;2.8;3.5;3.4;2.6;0.7;0.3;2;1.5;17.3
206;JaMychal Green;PF;31;DEN;67;16.2;2.4;4.9;0.5;1.9;1.9;3;1.2;1.4;4.2;0.9;0.6;0.4;0.9;2.4;6.4
207;Javonte Green;SF;28;CHI;65;23.4;2.7;5;0.6;1.6;2.2;3.4;1.2;1.5;4.2;0.9;1;0.5;0.5;2;7.2
208;Jeff Green;C;35;DEN;75;24.7;3.7;7.1;0.7;2.2;3;4.8;2.2;2.6;3.1;1.3;0.4;0.4;0.9;2;10.3
209;Josh Green;SG;21;DAL;67;15.5;1.9;3.8;0.4;1.2;1.5;2.7;0.5;0.7;2.4;1.2;0.7;0.2;0.7;1.7;4.8
210;Blake Griffin;PF;32;BRK;56;17.1;2.4;5.6;0.7;2.6;1.7;3;1;1.4;4.1;1.9;0.5;0.3;0.6;1.7;6.4
211;Quentin Grimes;SG;21;NYK;46;17.1;2.1;5.1;1.6;4.1;0.5;1;0.3;0.4;2;1;0.7;0.2;0.6;1.6;6
212;Kyle Guy;SG;24;MIA;19;9.8;1.4;3.4;0.7;2.1;0.6;1.3;0.4;0.6;0.9;0.9;0.4;0.1;0.7;0.6;3.9
213;Rui Hachimura;PF;23;WAS;42;22.5;4.5;9.1;1.3;2.9;3.1;6.1;1.1;1.6;3.8;1.1;0.5;0.2;0.8;1.3;11.3
214;Tyrese Haliburton;SG-PG;21;TOT;77;35;5.6;11.8;2.1;5.1;3.5;6.8;2.1;2.5;4;8.2;1.7;0.6;2.6;1.6;15.3
214;Tyrese Haliburton;SG;21;SAC;51;34.5;5.3;11.5;2;4.9;3.2;6.5;1.7;2;3.9;7.4;1.7;0.7;2.3;1.4;14.3
214;Tyrese Haliburton;PG;21;IND;26;36.1;6.2;12.4;2.2;5.3;4;7.2;2.8;3.3;4.3;9.6;1.8;0.6;3.2;1.9;17.5
215;Tyler Hall;SG;24;NYK;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;R.J. Hampton;SG;20;ORL;64;21.9;2.7;7.1;1;2.9;1.7;4.3;1.2;1.8;3;2.5;0.7;0.2;1.4;1.6;7.6
217;Tim Hardaway Jr.;SG;29;DAL;42;29.6;5;12.6;2.4;7.2;2.5;5.4;1.9;2.5;3.7;2.2;0.9;0.1;0.8;1.8;14.2
218;James Harden;PG-SG;32;TOT;65;37.2;6.3;15.3;2.3;6.9;4;8.4;7.2;8.2;7.7;10.3;1.3;0.6;4.4;2.4;22
218;James Harden;PG;32;BRK;44;37;6.6;16;2.3;7;4.3;9.1;6.9;8;8;10.2;1.3;0.7;4.8;2.4;22.5
218;James Harden;SG;32;PHI;21;37.7;5.5;13.6;2.2;6.7;3.3;6.9;7.9;8.9;7.1;10.5;1.2;0.2;3.4;2.3;21
219;Maurice Harkless;SF;28;SAC;47;18.4;1.8;3.9;0.7;2.1;1.1;1.7;0.4;0.6;2.4;0.5;0.6;0.5;0.7;1.6;4.6
220;Jared Harper;PG;24;NOP;5;8.6;2.8;5.2;1;2.4;1.8;2.8;0.8;0.8;0.4;2.8;0.8;0.2;0.4;1;7.4
221;Montrezl Harrell;C;28;TOT;71;23.1;5;7.8;0.1;0.2;5;7.6;3;4.2;6.1;2;0.4;0.6;1;1.9;13.1
221;Montrezl Harrell;C;28;WAS;46;24.3;5.4;8.3;0.1;0.3;5.3;8;3.2;4.5;6.7;2.1;0.4;0.7;1.1;1.9;14.1
221;Montrezl Harrell;C;28;CHO;25;21;4.4;6.9;0;0.1;4.4;6.8;2.5;3.6;4.9;2;0.4;0.5;0.9;2;11.4
222;Gary Harris;SG;27;ORL;61;28.4;3.9;9.1;1.9;5;2;4.1;1.4;1.6;2;1.8;1;0.1;1;1.8;11.1
223;Joe Harris;SF;30;BRK;14;30.2;4;8.9;2.9;6.3;1.1;2.6;0.4;0.4;4;1;0.5;0.1;1.1;2.2;11.3
224;Tobias Harris;PF;29;PHI;73;34.8;6.8;14;1.4;3.8;5.4;10.2;2.3;2.8;6.8;3.5;0.6;0.6;1.6;2.2;17.2
225;Shaquille Harrison;SG;28;BRK;2;11.5;1;3;0;1;1;2;0;0;2;1.5;0.5;0.5;1;1.5;2
226;Josh Hart;SG-SF;26;TOT;54;33.2;5.3;10.5;1.4;3.9;4;6.6;3;3.9;7.2;4.1;1.1;0.2;2.1;2.8;14.9
226;Josh Hart;SG;26;NOP;41;33.5;4.8;9.4;1;3.2;3.7;6.2;2.8;3.8;7.8;4.1;1.1;0.3;2;2.9;13.4
226;Josh Hart;SF;26;POR;13;32.1;7.1;14.1;2.4;6.4;4.7;7.7;3.4;4.4;5.4;4.3;1.2;0.2;2.5;2.5;19.9
227;Isaiah Hartenstein;C;23;LAC;68;17.9;3.4;5.4;0.2;0.4;3.2;4.9;1.3;1.9;4.9;2.4;0.7;1.1;1.2;2.5;8.3
228;Udonis Haslem;C;41;MIA;13;6.4;1.1;2.4;0.1;0.3;1;2.1;0.2;0.2;1.9;0.3;0.1;0.1;0.4;1.2;2.5
229;Sam Hauser;SF;24;BOS;26;6.1;0.9;1.9;0.7;1.7;0.2;0.2;0;0;1.1;0.4;0;0.1;0.1;0.3;2.5
230;Jaxson Hayes;C;21;NOP;70;20;3.5;5.7;0.3;0.8;3.2;4.9;2.1;2.7;4.5;0.6;0.5;0.8;0.8;2.2;9.3
231;Killian Hayes;PG;20;DET;66;25;2.7;7;0.7;2.5;2;4.4;0.9;1.1;3.2;4.2;1.2;0.5;1.7;2.8;6.9
232;Gordon Hayward;SF;31;CHO;49;31.9;5.8;12.6;1.8;4.5;4;8.1;2.6;3;4.6;3.6;1;0.4;1.7;1.7;15.9
233;Aaron Henry;SF;22;PHI;6;2.8;0.2;0.8;0;0.2;0.2;0.7;0;0;0.2;0;0;0.3;0.3;0.3;0.3
234;Juancho Hernangómez;PF;26;TOT;40;11.1;1.1;2.7;0.6;1.7;0.5;0.9;0.5;0.9;2.5;0.5;0.4;0.3;0.4;0.6;3.3
234;Juancho Hernangómez;PF;26;BOS;18;5.3;0.3;1.5;0.2;1;0.1;0.5;0.3;0.5;1.4;0.2;0.2;0.1;0.3;0.4;1.1
234;Juancho Hernangómez;PF;26;SAS;5;10.2;0.4;1.2;0;0.6;0.4;0.6;0.6;0.8;3;0.6;0.2;0.2;0.4;0;1.4
234;Juancho Hernangómez;PF;26;UTA;17;17.5;2.2;4.3;1.2;2.8;0.9;1.5;0.6;1.2;3.5;0.8;0.5;0.4;0.5;1.1;6.2
235;Willy Hernangómez;C;27;NOP;50;16.8;3.4;6.5;0.1;0.2;3.3;6.3;2.2;2.8;6.8;1.3;0.4;0.4;1;1.9;9.1
236;Tyler Herro;SG;22;MIA;66;32.6;7.6;17;2.7;6.7;4.9;10.3;2.9;3.3;5;4;0.7;0.1;2.6;1.4;20.7
237;Buddy Hield;SG;29;TOT;81;30.9;5.5;13.6;3.2;8.8;2.3;4.7;1.4;1.6;4.4;2.8;0.9;0.3;1.9;2.3;15.6
237;Buddy Hield;SG;29;SAC;55;28.6;4.8;12.6;3.3;9;1.5;3.6;1.5;1.7;4;1.9;0.9;0.3;1.6;2.1;14.4
237;Buddy Hield;SG;29;IND;26;35.6;7;15.6;3.1;8.5;3.9;7.1;1.2;1.3;5.1;4.8;1;0.4;2.4;2.7;18.2
238;Haywood Highsmith;SF;25;MIA;19;8.6;0.8;2.4;0.5;1.5;0.4;0.9;0.1;0.3;1.4;0.3;0.1;0.2;0.2;0.7;2.3
239;George Hill;SG;35;MIL;54;23.2;2.2;5.1;0.8;2.5;1.4;2.6;1.1;1.1;2.9;2.2;0.8;0.1;0.8;1.3;6.2
240;Malcolm Hill;SF-SG;26;TOT;19;11.2;1.3;2.7;0.7;1.9;0.6;0.8;0.6;0.7;1.8;0.4;0.4;0.2;0.2;1.3;3.8
240;Malcolm Hill;SG;26;ATL;3;15.3;1.7;2.7;1;1.7;0.7;1;1.3;1.3;2;0.3;1.3;0.3;0;2.3;5.7
240;Malcolm Hill;SF;26;CHI;16;10.4;1.2;2.8;0.6;1.9;0.6;0.8;0.4;0.6;1.8;0.4;0.2;0.1;0.2;1.1;3.4
241;Solomon Hill;PF;30;ATL;13;10.7;0.2;1.5;0.2;1;0.1;0.5;0;0;1.8;0.9;0.3;0.2;0.1;1.2;0.6
242;Nate Hinton;SG;22;IND;2;1;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0
243;Jaylen Hoard;SF;22;OKC;7;34.3;6.3;12.9;1.3;3.6;5;9.3;0.9;2;12;2.4;0.9;0.7;1.1;2;14.7
244;Aaron Holiday;PG;25;TOT;63;16.2;2.4;5.4;0.6;1.6;1.8;3.7;0.9;1.1;1.9;2.4;0.7;0.1;1.1;1.5;6.3
244;Aaron Holiday;PG;25;WAS;41;16.2;2.4;5.2;0.6;1.6;1.9;3.6;0.7;0.9;1.6;1.9;0.6;0.2;1;1.5;6.1
244;Aaron Holiday;PG;25;PHO;22;16.3;2.3;5.6;0.7;1.6;1.6;4;1.4;1.5;2.5;3.4;0.8;0;1.3;1.5;6.8
245;Jrue Holiday;PG;31;MIL;67;32.9;7.1;14.2;2;4.8;5.2;9.4;2;2.7;4.5;6.8;1.6;0.4;2.7;2;18.3
246;Justin Holiday;SF-SG;32;TOT;74;27.8;3.5;8.9;2.4;6.5;1.1;2.4;0.7;0.8;2.6;1.7;0.8;0.4;0.9;2.1;10.1
246;Justin Holiday;SF;32;IND;49;28.9;3.9;9.3;2.6;6.9;1.3;2.5;0.7;0.8;2.8;1.8;0.7;0.4;1;2.1;11
246;Justin Holiday;SG;32;SAC;25;25.6;2.8;8.2;2;5.8;0.8;2.3;0.6;0.8;2.2;1.5;0.8;0.6;0.8;2;8.3
247;Richaun Holmes;C;28;SAC;45;23.9;4.4;6.7;0;0.1;4.4;6.6;1.6;2;7;1.1;0.4;0.9;1.2;2.8;10.4
248;Rodney Hood;SF-SG;29;TOT;52;13.6;1.1;3;0.6;1.8;0.5;1.3;0.3;0.4;1.5;0.7;0.3;0.1;0.2;0.6;3.1
248;Rodney Hood;SF;29;MIL;39;14.9;1.2;3.4;0.6;2.1;0.6;1.3;0.3;0.4;1.7;0.8;0.3;0.1;0.2;0.7;3.3
248;Rodney Hood;SG;29;LAC;13;9.8;0.9;2;0.5;0.8;0.5;1.2;0.3;0.4;0.8;0.6;0.2;0.2;0.3;0.3;2.6
249;Scotty Hopson;SG;32;OKC;1;18;2;4;0;1;2;3;0;0;1;1;0;0;2;1;4
250;Al Horford;C;35;BOS;69;29.1;3.9;8.2;1.3;3.8;2.6;4.4;1.2;1.4;7.7;3.4;0.7;1.3;0.9;1.9;10.2
251;Talen Horton-Tucker;SG;21;LAL;60;25.2;3.7;9;0.8;3;2.9;5.9;1.7;2.1;3.2;2.7;1;0.5;1.4;2.5;10
252;Danuel House Jr.;SF;28;TOT;42;17.3;1.9;4.7;1;2.8;0.9;1.9;1;1.4;2.6;1;0.5;0.4;0.8;1.2;5.9
252;Danuel House Jr.;SF;28;HOU;16;14.6;1.6;4.6;0.6;2.1;0.9;2.5;1.1;1.2;2.7;1.2;0.3;0.3;1.1;1;4.8
